Time (ps),fter lsq fit to Backbone
278.1900024,0.3595259
278.9500122,0.4107422
279.9500122,0.3835146
280.9500122,0.3745227
281.9500122,0.3606677
282.9500122,0.3854364
283.9500122,0.3783809
284.9500122,0.3865679
285.9500122,0.3730613
287.4500122,0.3839409
288.4500122,0.3630899
289.4500122,0.3812183
290.4500122,0.3710533
291.4500122,0.3596714
292.4500122,0.3701866
293.4500122,0.3549101
294.4500122,0.3547225
295.8900146,0.3792123
296.8900146,0.3704787
297.8900146,0.3868904
298.8900146,0.3821151
299.8900146,0.3893455
300.8900146,0.3560659
301.8900146,0.3599563
302.8900146,0.3774059
304.0100098,0.3604698
305.0100098,0.3580007
306.0100098,0.3533275
307.0100098,0.3780711
308.0100098,0.3773186
309.0100098,0.3608238
310.0100098,0.3680389
311.0100098,0.3644792
312.0100098,0.3717312
312.6200256,0.3789516
313.6200256,0.3867649
314.6200256,0.3728453
315.6200256,0.3967916
316.6200256,0.4110482
317.6200256,0.3913567
318.6200256,0.3789256
319.6200256,0.4025736
320.6200256,0.4033450
321.2700195,0.3841302
322.2700195,0.3649091
323.2700195,0.4087527
324.2700195,0.3978218
325.2700195,0.4023024
326.2700195,0.3760493
327.2700195,0.3854500
328.2700195,0.3849819
329.5600281,0.4132790
330.5600281,0.4076460
331.5600281,0.4101526
332.5600281,0.4076247
333.5600281,0.4183144
334.5600281,0.3990917
335.5600281,0.3974581
336.5600281,0.4063855
337.2400208,0.4165769
338.2400208,0.4116356
339.2400208,0.4008232
340.2400208,0.3792381
341.2400208,0.3953642
342.2400208,0.3910407
343.2400208,0.3809660
344.2400208,0.3800544
345.2400208,0.3923356
345.8200073,0.4177947
346.8200073,0.4057159
347.8200073,0.4001643
348.8200073,0.3858983
349.8200073,0.3838610
350.8200073,0.3818478
351.8200073,0.3930761
352.8200073,0.3923045
353.8200073,0.4070968
354.9200134,0.4090937
355.9200134,0.4069033
356.9200134,0.4318231
357.9200134,0.3911443
358.9200134,0.4207650
359.9200134,0.4276829
360.9200134,0.4089150
361.9200134,0.4087195
362.9200134,0.3855146
363.8600159,0.4046077
364.8600159,0.3891971
365.8600159,0.4033926
366.8600159,0.4222499
367.8600159,0.4142777
368.8600159,0.4079512
369.8600159,0.3993893
370.8600159,0.4041092
371.8600159,0.4095410
372.3700256,0.4137724
373.3700256,0.4330058
374.3700256,0.4133079
375.3700256,0.4135144
376.3700256,0.4076079
377.3700256,0.4013026
378.3700256,0.4151751
379.3700256,0.4147074
380.3700256,0.4060734
381.2600098,0.3994659
382.2600098,0.3930603
383.2600098,0.4174292
384.2600098,0.4004543
385.2600098,0.4239884
386.2600098,0.4218225
387.2600098,0.4318580
388.2600098,0.4353316
389.2600098,0.4352292
389.9200134,0.4380536
390.9200134,0.4188703
391.9200134,0.4256375
392.9200134,0.4139543
393.9200134,0.4142312
394.9200134,0.3991526
395.9200134,0.4050243
396.9200134,0.4103741
397.9200134,0.4098101
398.6400146,0.4056441
399.6400146,0.4195899
400.6400146,0.4121521
401.6400146,0.4349161
402.6400146,0.4340558
403.6400146,0.4040945
404.6400146,0.4223979
405.6400146,0.4233283
407.1100159,0.4052651
408.1100159,0.4077162
409.1100159,0.3836188
410.1100159,0.3916953
411.1100159,0.4216618
412.1100159,0.4188230
413.1100159,0.3998512
414.1100159,0.4001483
415.1100159,0.4299480
416.0000305,0.3990906
417.0000305,0.4154835
418.0000305,0.3984773
419.0000305,0.4016805
420.0000305,0.3928884
421.0000305,0.4111667
422.0000305,0.3873447
423.0000305,0.3968361
423.7300110,0.3882754
424.7300110,0.4302942
425.7300110,0.3993569
426.7300110,0.3927022
427.7300110,0.3818096
428.7300110,0.3777870
429.7300110,0.3906346
430.7300110,0.4053651
432.2300110,0.4054234
433.2300110,0.3843587
434.2300110,0.3772228
435.2300110,0.3954402
436.2300110,0.3959820
437.2300110,0.3761879
438.2300110,0.3600584
439.2300110,0.3847038
440.2300110,0.3901016
440.8200073,0.4121507
441.8200073,0.3927464
449.4100342,0.4075103
450.4100342,0.3795816
451.4100342,0.3902958
452.4100342,0.3945326
453.4100342,0.3993392
454.4100342,0.4081217
455.4100342,0.3982669
456.4100342,0.3967837
457.4100342,0.4211578
458.0200195,0.4313222
459.0200195,0.4105516
460.0200195,0.3928643
461.0200195,0.4179200
462.0200195,0.4204234
463.0200195,0.4235593
464.0200195,0.4235600
465.0200195,0.4198236
466.0200195,0.3838313
466.9700317,0.4209706
467.9700317,0.4057233
468.9700317,0.4098718
469.9700317,0.4428330
470.9700317,0.4334192
471.9700317,0.4090944
472.9700317,0.3948038
473.9700317,0.4066743
475.1700134,0.3937940
476.1700134,0.4060824
477.1700134,0.4106391
478.1700134,0.3957143
479.1700134,0.3867579
480.1700134,0.3860683
481.1700134,0.3937644
482.1700134,0.4042927
483.1700134,0.3947896
484.1400146,0.3968896
485.1400146,0.3967714
486.1400146,0.4368918
487.1400146,0.4084249
488.1400146,0.3978964
489.1400146,0.4180632
490.1400146,0.4015598
491.1400146,0.4182931
492.0900269,0.4353526
493.0900269,0.4214829
494.0900269,0.3896720
495.0900269,0.3946849
496.0900269,0.4037868
497.0900269,0.3894735
498.0900269,0.4022574
499.0900269,0.4062803
500.0900269,0.4048227
500.6200256,0.4115077
501.6200256,0.3713844
502.6200256,0.3987851
503.6200256,0.3900790
